RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
63,62631083,DLWVO,818,Germany,Male,73,8,16128.15,2,1,0,18837.12,0
64,18585377,EHCAK,795,Spain,Female,80,4,121495.45,1,1,1,34240.34,0
65,96544585,MBJQH,830,France,Female,65,7,106579.92,3,0,0,94210.05,0
66,95157821,XNCHG,721,France,Male,76,5,178136.07,2,0,0,176128.26,0
67,97655395,BEQTB,643,France,Female,61,3,161416.48,1,0,1,115492.9,0
68,27824013,IEXCA,602,France,Male,72,2,46303.93,1,0,1,149145.21,0
69,46601694,ABHPI,492,Germany,Female,72,5,51534.73,3,1,1,90477.0,0
70,77105583,FGKOU,599,Spain,Male,18,0,62751.54,3,1,0,17697.29,0
71,70304654,FMPQW,715,Spain,Female,25,1,44737.61,1,0,1,133084.39,0
72,44119117,RVRIH,785,Germany,Male,21,6,164303.3,3,1,1,130460.28,1
73,46433622,OXIJH,812,France,Female,70,3,248607.54,1,1,0,23571.33,0
74,99482491,ZDEHL,651,Spain,Female,75,4,163027.09,1,0,1,42467.48,0
75,70031992,NSDKK,374,Spain,Male,54,9,151670.39,3,0,1,100469.6,0
76,65105831,FXIOX,626,Germany,Male,66,0,102481.98,2,1,1,94861.14,0
77,13366612,NAVUF,821,France,Female,84,1,78145.06,1,0,0,152959.33,0
78,68743503,GGDHG,726,Spain,Female,36,3,227768.44,3,1,0,83608.5,0
79,46258670,XWZWR,727,France,Male,18,7,242250.47,1,1,0,136027.05,1
80,79739572,WTXWC,738,Spain,Male,46,9,124194.04,1,0,1,143840.47,0
81,65848857,EMCGP,419,Germany,Male,50,3,72550.12,1,0,0,132550.73,0
82,67055419,GTJUG,462,France,Female,69,2,192530.55,3,1,0,123263.86,0
83,59160571,KSFMY,712,Germany,Female,58,2,33114.2,3,0,0,163079.86,1
84,78394024,PTAAZ,461,Spain,Male,40,4,191397.06,3,1,1,134850.32,0
85,74525468,UBBYK,713,Germany,Female,22,2,204737.09,2,1,0,168495.03,1
86,99966606,TOZSC,652,Germany,Female,88,7,31225.99,1,0,0,130970.25,0
87,48727468,VFYVO,820,Germany,Male,74,4,244215.37,2,0,0,40204.87,0
88,61757120,QDFCV,801,Spain,Female,23,6,246378.07,1,0,0,68794.63,1
89,77157848,HBQJH,440,France,Male,66,7,234179.87,3,0,1,72767.51,0
90,87897542,VWKVP,367,Germany,Male,39,4,124008.7,1,1,0,27843.94,1
91,83665032,KNAIW,498,France,Female,21,7,61518.54,1,0,0,141538.26,0
92,95390464,XWRXM,825,Spain,Female,89,2,145502.32,1,0,0,123071.12,0
93,58170987,XNTWO,576,France,Male,81,6,104983.46,2,0,1,122053.44,0
94,62562567,AEUXX,563,Germany,Male,54,7,51487.16,3,1,1,100918.29,0
95,33717335,VDPYY,709,Germany,Male,48,6,105919.1,3,0,0,113193.68,0
96,70472382,INTDX,500,Germany,Female,54,1,165972.46,1,0,1,11536.59,0
97,22719242,EIENJ,541,Germany,Male,62,7,17728.33,3,0,0,28287.13,0
98,58715250,OKUHL,800,Germany,Male,25,5,83354.5,2,0,1,139837.06,0
99,93139152,PRVRU,389,Germany,Male,57,9,4448.72,2,0,1,59678.69,1
100,54054178,TUXOI,591,Spain,Male,22,2,187373.88,3,1,0,30503.19,0
101,48334882,IWXZY,487,Spain,Female,45,3,160172.82,2,1,1,72444.5,0
102,62441466,QFHHZ,694,Spain,Female,26,6,15668.03,2,1,1,58351.68,0
103,59583876,GIRTW,529,France,Male,19,2,241184.39,3,0,0,15580.77,1
104,96117865,BRERM,846,France,Female,80,0,5655.39,3,0,0,88005.98,0
105,73203558,VRAIL,549,Spain,Female,68,5,147490.16,1,1,1,15135.55,0
106,47407771,CKCQF,552,France,Female,48,2,194091.87,1,0,1,10074.26,0
107,93122310,UQMZK,410,France,Male,24,9,196974.08,2,1,1,160570.01,1
108,37009224,XFHUX,541,Germany,Female,47,5,8571.28,3,0,1,69844.61,0
109,61327755,TAJFP,354,Germany,Female,75,9,226603.78,2,1,0,117841.41,0
110,89018913,BMRPK,727,France,Male,20,2,229612.92,3,1,1,66572.65,0
111,17130144,BOGHX,586,France,Male,68,5,140347.59,2,0,0,186704.5,0
112,14545583,CLZLD,530,Spain,Female,73,3,120520.8,2,0,0,148544.43,0
113,64079037,AOZTY,660,France,Female,90,3,11216.87,2,0,0,80142.35,0
114,64474455,NXXBB,386,Germany,Male,27,9,140488.54,1,0,1,50019.11,0
115,51542436,JZPZV,405,France,Male,78,9,102344.77,3,0,1,36183.21,0
116,56626914,CXUVY,792,Spain,Male,67,1,193201.6,2,1,0,154859.55,1
117,63933927,XCYDV,586,Germany,Male,64,3,100970.89,1,0,0,96076.98,0
118,62453338,QMALL,707,Germany,Female,18,3,170895.21,2,1,0,54073.04,0
119,24881728,OXZUF,698,Germany,Male,74,6,25352.04,2,0,0,184728.95,0
120,44045666,EMWFD,546,Germany,Female,55,4,33238.07,3,1,0,84118.32,1
121,22722094,VEFRH,422,France,Female,79,7,34927.55,2,1,1,113263.62,0
122,32178434,EDGFR,408,Spain,Female,87,6,11381.37,3,1,1,172981.85,1
123,56321408,ULGCW,589,France,Male,82,9,135332.21,1,0,1,168341.26,0
124,22796932,TUBXC,351,France,Male,79,8,198491.93,1,1,1,131211.19,0
125,84023414,DERTB,798,Germany,Female,73,7,152602.8,2,0,0,178838.52,0
126,36063245,DQEUX,709,Spain,Female,84,8,143738.72,1,1,0,190898.65,1
127,49443226,SFSSA,537,Germany,Female,34,0,170155.98,3,0,1,187671.69,1
128,83619289,UZTDN,656,France,Female,25,9,84911.33,3,1,0,76311.39,1
129,17887739,INWYQ,379,France,Female,77,2,90488.52,1,0,0,85462.51,0
130,70736972,GSXIN,616,Germany,Male,57,4,78567.52,3,0,0,55695.73,0
131,71071026,FBQIH,825,France,Male,79,8,178027.23,3,1,1,168997.67,0
132,10769598,DWXMA,457,France,Male,58,7,40410.08,2,1,1,33146.68,0
133,99178975,RXEDU,681,Germany,Female,29,9,3256.32,2,0,1,77465.84,0
134,59007334,KWJHO,772,France,Female,71,6,149049.11,3,1,1,11849.31,0
135,38433648,RANRW,439,Spain,Male,28,1,235595.34,1,0,1,122982.79,0
136,17971379,OIACM,554,Germany,Male,77,5,152351.98,3,0,1,135093.02,0
137,13331068,DMCXU,728,Spain,Female,85,3,195730.41,2,1,0,57307.63,0
138,46810847,SBYRR,805,France,Male,63,4,168197.68,1,0,1,149978.82,1
139,44428803,QFGTF,796,France,Male,55,4,124359.16,3,1,0,82491.99,0
140,15654237,LTJRI,797,Germany,Male,78,3,179598.1,1,0,1,69225.1,1
141,71553124,QITKU,794,France,Female,34,3,206026.03,1,0,1,191671.43,0
142,55816038,SBUOR,730,Germany,Female,83,3,56182.91,1,0,0,121851.57,0
143,27750764,PTSUV,787,Germany,Male,89,1,84032.62,3,0,1,57940.69,1
144,46898446,VVFYM,569,Germany,Female,53,0,55931.43,2,1,0,196816.01,0
145,33841962,SAMQT,727,Germany,Male,91,1,113043.24,1,0,1,83634.43,0
146,76834972,NDOAQ,443,Germany,Male,24,6,221266.14,1,1,0,133087.66,0
147,53156515,QFDMZ,806,Spain,Female,33,0,86301.78,3,0,1,147532.24,0
148,32993420,UFEWL,452,Germany,Female,31,5,93616.72,2,0,0,90236.21,0
149,72190751,IAIUC,572,Spain,Female,42,3,215091.81,2,1,1,111824.19,0
150,31970758,NVZVN,535,France,Male,21,1,128843.58,3,0,0,55558.57,1
151,46513466,WUKCT,818,Germany,Male,46,2,133862.25,1,0,1,98506.13,1
152,41288562,NZTPX,533,France,Male,73,6,215200.3,3,1,1,69052.02,0
153,31351509,NOIHM,844,Germany,Female,23,5,122631.68,2,0,1,114017.01,0
154,33484187,WJIPC,511,Spain,Male,18,5,170389.38,1,0,1,137279.16,1
155,71777469,UWAER,596,Spain,Male,56,7,21411.17,1,0,1,126660.99,0
156,46093880,DOIEN,380,Spain,Male,18,7,44657.93,2,1,1,157576.18,0
157,60441204,KEMNM,401,France,Male,80,5,101094.05,1,1,0,17890.71,0
158,91752859,HXBIW,694,Germany,Female,74,0,123709.77,3,1,0,24933.38,1
159,54066131,YDBLK,425,France,Female,84,9,241433.43,2,1,0,49009.68,0
160,85415325,ZELMU,734,Spain,Female,82,6,242662.91,2,1,0,197302.48,0
161,45563453,MIBIX,788,France,Male,82,7,212799.27,1,1,0,162050.93,0
162,44755914,GUTJG,627,Spain,Male,38,4,78899.71,2,1,0,185582.99,0
163,60873983,ENWLO,389,Spain,Male,47,3,241007.07,3,1,1,61697.17,0
164,63892568,HQULA,450,Spain,Female,50,6,172335.22,2,0,1,119032.73,0
165,33637222,DLXSG,460,Germany,Female,65,5,98235.03,1,1,1,115428.11,0
166,12484413,QBFMA,734,Germany,Female,39,5,175418.73,2,0,0,118208.6,0
167,80016224,QNSZL,670,Spain,Female,71,2,4130.68,1,0,1,146337.72,0
168,49449976,XJQWP,598,France,Female,21,9,36538.67,1,0,0,84856.21,0
169,99583549,YZTLZ,540,France,Male,72,3,207421.43,3,0,0,138669.97,0
170,12235000,TKIXN,839,Germany,Female,61,4,161393.41,2,0,0,159803.04,0
171,33685747,HHDHL,531,Spain,Female,29,8,91048.68,3,1,1,64923.91,0
172,47876684,BPICL,775,France,Female,91,7,125166.66,3,1,1,189691.21,0
173,82931048,TZRLH,754,Spain,Male,69,2,226285.54,2,0,0,108429.12,0
174,39859174,GAIDX,684,France,Female,82,5,157894.53,3,1,1,149224.91,0
175,46102853,BPDCT,558,Germany,Female,82,9,99537.32,3,1,1,148495.73,0
176,56159303,AQXFP,371,Spain,Female,27,0,30081.66,1,1,0,117396.23,0
177,22195226,LFPZH,515,Spain,Male,35,2,73436.7,3,1,1,71309.9,0
178,57936136,FPBCM,448,France,Male,64,9,244585.06,2,1,1,136718.5,0
179,79062973,TSPVH,842,France,Female,83,6,109340.77,1,0,0,26584.13,0
180,24421668,VMNCO,557,France,Female,66,6,117959.87,3,0,0,196472.72,0
181,31200096,AENIV,357,Spain,Female,89,1,124649.51,3,0,1,44959.48,0
182,93375337,KHEVC,539,Germany,Female,39,2,221026.01,2,0,1,62330.98,0
183,33234510,ESDQK,524,Germany,Male,43,6,150982.07,3,0,1,191343.44,0
184,61715898,IKBAK,622,France,Female,26,5,173419.26,2,1,0,45442.86,0
185,55968757,HQCRC,366,Germany,Male,38,6,97353.39,3,1,0,42317.61,1
186,10061087,QPQJZ,439,France,Female,80,9,7271.9,3,0,0,162861.84,1
187,90705119,IGUTK,490,Germany,Male,23,8,232743.23,2,0,1,57744.75,0
188,76653416,OTNHU,494,Spain,Male,31,7,237281.92,1,1,1,27998.05,1
189,95382256,CBMYF,515,France,Female,50,5,237288.26,2,1,0,53062.18,0
190,20274621,IPAUY,686,Germany,Male,88,3,235921.77,1,0,0,178790.98,0
191,23022704,YCZDR,845,Spain,Female,41,9,203810.49,1,0,0,63260.65,1
192,26816569,ZHCRZ,427,Germany,Male,90,8,171149.01,2,1,1,142061.5,0
193,17654909,QQBRI,778,Spain,Male,68,6,211127.48,2,1,1,85076.45,0
194,47814054,VYCYQ,611,Spain,Female,19,4,150136.56,3,0,1,59802.57,0
195,94302960,YOFFB,512,Germany,Female,32,1,33592.4,3,1,1,37369.01,0
196,25421040,KOMRI,715,Germany,Male,52,8,97804.54,1,1,0,194716.43,0
197,34210512,BBNCE,363,Spain,Male,53,6,242823.73,3,0,1,109011.95,0
198,82073914,FUBRG,588,Spain,Female,56,8,87784.45,2,1,1,31803.45,1
199,77922032,KJMIM,421,Spain,Female,21,8,216956.98,1,0,0,47774.66,0
200,43779713,ZVMPO,794,France,Female,81,9,23302.87,3,1,0,87386.44,0
201,21506305,PIQFB,492,Spain,Male,91,4,83545.96,3,0,0,113392.4,1
202,30560091,JYJRI,659,France,Female,23,6,87738.33,2,1,1,44541.39,0
203,96881845,ZYOTT,632,Spain,Female,74,4,12900.64,2,1,0,62768.39,0
204,17734102,WNZOB,618,France,Male,47,2,29773.58,3,0,1,158904.2,0
205,15674719,MVONZ,590,Spain,Female,91,9,48291.3,1,0,0,89321.5,0
206,18658144,AKNQS,764,Spain,Female,84,7,209453.9,1,1,1,10266.45,1
207,50163712,YOBWT,594,Spain,Female,32,7,15850.5,2,0,1,20248.65,0
208,99386386,WGVZO,512,Germany,Female,34,8,74675.23,2,0,0,93472.4,0
209,95447809,YKXBV,409,Germany,Male,35,5,2543.75,2,1,0,21422.37,0
210,98917675,TLYEI,355,Spain,Female,36,1,173906.94,3,1,1,43041.84,0
211,54165849,TBSRR,546,France,Female,86,2,155075.77,3,1,0,148296.52,0
212,82586911,IHYTG,819,France,Female,41,9,161245.57,2,0,1,101272.93,0
213,78227907,TESKH,407,Spain,Female,65,5,93595.7,1,1,0,101667.77,0
214,88826934,HIEJP,654,Germany,Female,47,0,52066.96,2,1,1,123661.44,0
215,59905866,LZJZQ,756,France,Female,32,1,180080.05,2,0,1,159818.55,1
216,91121402,PULUW,566,Germany,Male,64,7,202779.47,1,0,0,40131.33,0
217,50657662,XDJZU,767,France,Male,61,7,34650.37,1,0,1,42879.04,0
218,16659908,CSDYM,375,Spain,Male,44,5,121707.36,1,1,1,33066.73,0
219,41378291,MDOTL,652,Germany,Female,81,2,62178.92,1,0,1,187997.56,0
220,73020641,VKJOE,354,France,Female,58,1,42026.72,3,1,1,119685.14,0
221,46634821,IFZNQ,823,Spain,Female,85,5,183581.33,3,1,0,27601.68,0
222,29433354,XLEFH,369,Spain,Male,22,0,134524.23,2,1,1,51922.66,0
223,26887294,JICIR,739,Spain,Female,70,9,54046.33,3,1,1,147862.11,0
224,83422991,WRBQJ,547,Germany,Male,25,5,77500.0,2,0,0,15508.42,0
225,45562619,JDJNN,408,Germany,Female,39,8,241663.42,2,0,0,147874.56,0
226,45213498,VRSKI,797,Spain,Female,24,6,212169.89,1,0,1,183178.24,0
227,45703247,BTTOK,591,Germany,Male,39,8,219986.69,1,0,1,20712.54,0
228,50910172,ISEYB,495,France,Male,63,1,115003.02,3,1,1,45419.88,1
229,72744322,UUXTA,737,Spain,Male,47,4,155951.82,3,0,0,10451.93,0
230,67805563,NFYQM,622,Spain,Male,33,8,94191.94,3,1,1,30715.8,0
231,16404003,OTGSY,598,Germany,Male,22,6,19427.99,3,0,1,127228.39,0
232,81244178,ULCTD,363,Spain,Male,84,8,100267.33,1,0,0,18515.38,0
233,61939266,BYSXO,811,France,Female,40,5,148495.19,1,1,1,90908.66,1
234,43267858,MSAYH,362,Germany,Male,78,6,71786.07,3,1,0,105646.34,1
235,31114003,WKFML,740,Germany,Female,91,9,211987.64,2,1,1,182259.53,0
236,96641503,BNBVR,733,Spain,Female,22,4,37775.04,1,0,0,100115.17,1
237,20421958,HDTXG,393,Spain,Female,40,5,91782.27,1,1,1,37083.65,0
238,87809459,VSXBN,724,Spain,Female,42,0,31225.98,1,0,1,64965.52,0
239,22984808,DGXPF,748,Germany,Female,25,0,101208.03,1,1,0,137717.12,0
240,24764960,PPXUO,368,Spain,Male,38,1,9915.33,3,0,0,31302.0,1
241,60402943,KVFOK,412,France,Male,19,3,68137.35,3,1,1,54031.13,0
242,86241446,EIXZI,840,Spain,Male,39,8,100183.81,2,1,0,199197.65,1
243,63777024,RSECV,588,Spain,Female,89,6,119541.34,1,1,0,11051.57,0
244,93494666,FOBAT,841,Germany,Male,89,5,135924.09,3,1,0,38914.83,0
245,80721464,VTVGJ,768,Spain,Female,85,0,68747.78,3,0,1,170300.31,0
246,94711896,JCNYC,686,Germany,Female,81,4,130760.33,1,0,1,29262.58,0
247,89214742,VDBVP,768,Spain,Female,36,3,127251.16,3,0,0,16391.79,0
248,53799966,WBHFO,752,France,Female,70,4,79044.51,3,0,0,33049.34,0
249,20047453,BHDVF,753,France,Male,69,8,207550.08,3,1,0,141783.47,0
250,45581225,FENOS,449,Germany,Male,64,2,136410.28,2,1,1,198691.0,1
251,44109026,CYBQE,512,Germany,Male,71,3,83067.43,3,0,0,122220.76,0
252,52090758,NIULV,765,Spain,Male,61,7,236834.63,1,0,0,33620.09,0
253,26037627,SOJIP,471,Spain,Male,24,2,211278.1,1,0,1,44917.97,0
254,90337039,MGNRN,781,France,Female,18,2,245646.95,1,0,0,112159.58,0
255,30281689,DIXJP,393,Spain,Male,80,8,173058.47,3,0,1,145975.06,0
256,67631343,YUROS,709,France,Female,56,4,94555.73,2,1,1,135953.31,0
257,81450611,WFZHZ,757,Germany,Female,36,9,70215.17,3,1,0,119198.03,1
258,56510960,DLURY,666,Spain,Female,48,0,165829.46,1,0,1,197391.26,0
259,42797855,STTQO,730,Germany,Male,41,6,245204.15,2,0,1,47626.45,1
260,44795514,KUDZU,494,Spain,Female,86,6,156678.77,2,1,1,42851.76,1
261,15184502,YBYPS,676,France,Female,82,5,220403.74,3,0,1,173221.63,0
262,33448674,FHZCD,712,Germany,Male,50,5,82275.86,1,0,0,65256.13,0
263,65223954,JCTKW,399,Germany,Female,76,2,101738.45,3,1,1,73180.01,0
264,40948143,UMOPN,414,Spain,Female,50,2,226568.81,1,1,0,114246.95,1
265,22503247,PUATE,704,Germany,Female,49,9,189216.68,2,1,1,82442.21,0
266,64006163,WXIEI,637,France,Male,76,8,245352.58,3,0,1,64651.68,0
267,61910807,SJJLS,513,Germany,Female,58,0,193691.05,2,0,0,184263.3,0
268,64847136,KEOXH,490,Germany,Female,29,6,112128.93,1,1,1,34562.1,0
269,83150359,XZCJO,803,Spain,Male,90,9,132767.0,2,0,0,86815.06,0
270,40831219,DYRMZ,663,Germany,Male,28,6,225128.87,2,0,1,10563.74,0
271,33101383,XTBDB,477,Spain,Female,36,7,137911.68,2,0,1,163416.2,0
272,27569187,DYZKR,747,Spain,Male,71,5,63849.34,3,0,0,41999.58,0
273,64710375,YZKOD,770,Germany,Male,74,7,108904.95,1,0,1,156868.1,0
274,64456147,DQCYX,717,France,Male,59,0,129079.0,2,1,1,38234.59,0
275,88110973,GQANS,812,Spain,Male,88,0,24179.96,2,0,0,89180.38,0
276,49501026,IKJGT,588,Germany,Male,48,8,185940.67,2,1,1,148355.14,0
277,43163773,PDNQZ,673,Spain,Male,69,3,27338.48,2,1,1,61453.67,0
278,21310552,JATIK,645,France,Male,19,2,101229.43,1,0,1,69644.25,0
279,41146082,GEZZF,536,France,Female,55,5,201155.61,1,1,1,136791.27,0
280,31104792,UAFWT,557,Spain,Male,49,9,116892.59,3,1,1,45663.19,0
281,31739356,ASAZH,569,France,Male,27,8,210503.88,1,0,0,190839.03,1
282,21471761,KJZAB,749,Germany,Male,25,9,85470.33,1,1,0,45869.66,1
283,29576703,LJEPH,539,Germany,Female,37,3,239409.07,2,0,1,152499.14,0
284,85092305,FMXQK,737,Spain,Male,37,8,52367.11,3,0,1,162493.79,0
285,82429249,KCCND,778,France,Male,26,4,9566.04,3,1,1,81130.38,0
286,28877237,EANGA,695,Germany,Female,89,6,218106.64,2,0,0,39685.44,0
287,56918818,JZTWW,633,Germany,Male,32,2,188050.68,3,1,1,41521.67,0
288,33705256,EZXYN,701,Germany,Female,80,2,57995.96,1,1,1,197235.57,1
289,94504547,NCGNP,586,Spain,Female,38,2,246185.4,3,0,1,147827.89,0
290,87633091,BMSHA,543,Spain,Male,22,7,125570.03,2,0,1,95509.01,0
291,89452960,FMOQS,636,Germany,Female,52,5,237766.36,3,0,0,58896.46,1
292,65403796,JDHJC,608,Germany,Male,85,8,126257.19,3,0,1,13592.92,0
293,33508102,ZBSTR,595,France,Male,65,8,117968.65,3,0,1,137388.13,1
294,19405634,FWTCM,485,France,Female,79,7,112284.63,2,0,1,191814.11,1
295,15853584,JMZNC,629,France,Female,52,0,83718.82,1,0,1,30300.21,0
296,34947744,DIMFM,620,Spain,Male,87,5,133425.37,3,0,1,153353.34,0
297,58491183,XNMIP,520,Germany,Male,38,3,113138.67,1,0,1,39115.01,0
298,47856186,MRORE,508,Spain,Female,56,3,9186.72,1,0,1,160499.98,1
299,58673237,JGELN,550,Germany,Male,51,2,65108.81,1,1,0,80408.84,0
300,75293686,QRLBS,836,France,Male,32,8,53280.7,3,1,1,145291.7,0
301,11983509,CEIIZ,394,France,Male,23,1,216858.9,1,0,0,185993.66,1
302,28298917,UUHHJ,799,France,Female,83,0,149717.49,3,0,0,127826.45,1
303,53563237,DIWQS,613,France,Male,73,9,190920.78,3,0,1,184932.81,0
304,87729132,PCIRE,420,Germany,Male,66,2,239206.51,3,0,1,54654.63,0
305,87275698,DOWIM,713,France,Male,18,3,161009.82,1,0,1,195845.42,0
306,83214389,TQHMU,720,Germany,Female,82,3,245652.5,3,1,0,175841.13,0
307,36365210,DEBVI,452,Germany,Female,45,5,77941.01,2,0,0,30438.93,0
308,68245345,FCBXN,839,Spain,Female,37,0,46566.8,2,0,0,88572.55,0
309,37180308,EUJFW,474,France,Male,65,0,100827.47,2,1,1,186135.61,0
310,21326237,INHRY,662,France,Female,89,1,117699.85,3,0,1,24841.92,0
311,96343264,MNEAK,813,Spain,Male,82,3,223840.39,2,0,0,96214.92,0
312,71864219,ZNTSW,832,Germany,Female,68,6,139985.11,3,1,0,147482.81,0
313,64434670,WRHMJ,635,France,Male,60,5,73045.25,3,0,1,16354.99,0
314,97692768,JONCG,807,Germany,Female,66,8,185658.57,3,0,0,153037.87,0
315,43255876,AJNCK,579,Spain,Male,42,6,126457.98,1,1,0,78628.49,0
316,59114107,KKYSK,495,Germany,Male,91,4,40532.99,2,0,0,57380.65,0
317,25900476,BIMFP,719,France,Female,58,5,144204.95,3,1,0,119434.73,1
318,50820227,LQBHK,546,Germany,Male,88,9,227848.63,2,0,0,113422.93,0
319,89688895,XWZYZ,722,Germany,Female,81,8,210655.65,2,1,0,176048.46,0
320,97927856,AKIRW,570,France,Female,78,0,146702.49,1,1,0,138440.56,0
321,63059071,VYYXC,772,France,Male,29,8,94270.79,2,0,1,90154.22,0
322,99595920,HTROB,409,Germany,Male,86,5,21744.69,3,1,0,133526.3,0
323,22707035,EVBOB,447,Germany,Female,31,3,117412.23,3,1,1,152528.13,0
324,15130397,XEZCN,520,Spain,Female,51,4,188019.86,2,0,1,188092.43,0
325,80560220,CJDAD,731,France,Female,65,0,90068.43,2,1,0,143809.7,0
326,46998516,BQANO,522,Germany,Male,78,6,58861.71,1,1,1,113335.75,0
327,46481541,LLCJA,500,France,Female,52,7,232844.93,3,0,0,80866.22,0
